Event,Hit,BarID.0,t0,x0,y0,z0,q0,BarID.1,t1,x1,y1,z1,q1,signal,target
114,0,104,4.966e+01,7.137e-02,2.833e-02,6.165e+00,6.048e+01,135,5.569e+01,-6.068e-03,-7.421e-02,6.773e+00,1.669e+01,1,0
119,0,102,4.687e+01,3.246e-02,-1.768e-01,6.165e+00,1.689e+01,103,4.706e+01,3.893e-02,-7.421e-02,6.165e+00,2.419e+01,0,0
122,0,105,4.802e+01,4.304e-02,1.309e-01,6.165e+00,5.011e+01,108,5.295e+01,4.533e-02,4.385e-01,6.165e+00,3.401e+00,0,0
125,0,264,6.223e+01,4.493e-02,1.452e-02,8.122e+00,6.759e+01,259,6.955e+01,-1.942e-01,-3.956e-01,8.939e+00,4.947e+01,1,0
129,0,88,4.647e+01,-2.148e-02,2.833e-02,6.061e+00,2.207e+01,120,5.144e+01,-8.182e-02,2.833e-02,6.669e+00,4.278e+01,1,0
130,0,261,8.306e+01,-3.451e-01,-2.808e-01,1.041e+01,2.522e+01,266,8.856e+01,-6.394e-02,2.319e-01,1.051e+01,1.800e+01,1,0
131,0,110,5.877e+01,-9.224e-01,6.436e-01,6.165e+00,4.527e+01,266,8.490e+01,9.169e-02,2.319e-01,1.051e+01,4.386e+01,1,0
137,0,104,4.818e+01,3.380e-02,2.833e-02,6.165e+00,4.257e+01,264,6.292e+01,-9.326e-02,1.452e-02,8.122e+00,6.307e+01,1,0
142,0,265,7.048e+01,-1.035e-01,1.171e-01,8.939e+00,2.907e+01,263,8.599e+01,-4.670e-01,-7.568e-02,1.041e+01,3.799e+01,0,0
143,0,264,6.420e+01,-5.638e-02,1.452e-02,8.122e+00,2.229e+01,269,7.310e+01,-2.769e-01,5.272e-01,8.939e+00,2.502e+01,0,0
147,0,103,4.768e+01,-1.618e-02,-7.421e-02,6.165e+00,3.494e+01,119,5.257e+01,8.597e-02,-7.421e-02,6.669e+00,1.324e+01,1,0
149,0,71,4.645e+01,5.175e-02,-7.421e-02,5.957e+00,2.289e+00,120,5.149e+01,-1.145e-02,2.833e-02,6.669e+00,3.748e+01,1,0
